Country / Territory,ISO3,Region,CPI score 2021,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Algeria,DZA,MENA,33,117,1.08,7,31.23,34.77,,,37,37,,35,,,30,26,,32,36
Eswatini,SWZ,SSA,32,122,7.12,3,20.28,43.72,,,17,,,35,,,,43,,,
Ukraine,UKR,ECA,32,122,1.29,9,29.87,34.13,,,37,20,36,35,31,,43,30,,26,33
Gabon,GAB,SSA,31,124,2.40,5,27.06,34.94,,,29,37,,35,,,32,20,,,
Mexico,MEX,AME,31,124,1.43,9,28.65,33.35,,44,29,37,,22,32,,24,36,,31,22
Niger,NER,SSA,31,124,1.35,7,28.77,33.23,37,,25,,,35,,,24,31,35,,30
Papua New Guinea,PNG,AP,31,124,2.26,6,27.28,34.72,,,33,20,,35,,,41,30,27,,
Azerbaijan,AZE,ECA,30,128,5.52,7,20.91,39.09,,,29,20,21,35,,,24,11,,74,
Bolivia,BOL,AME,30,128,1.68,7,27.23,32.77,,,37,37,,35,,,30,30,,23,21
Djibouti,DJI,SSA,30,128,1.68,5,27.24,32.76,27,,25,,,35,,,,30,35,,
Dominican Republic,DOM,AME,30,128,1.16,7,28.10,31.90,,,29,37,,22,,,30,30,,29,30
Laos,LAO,AP,30,128,3.21,5,24.71,35.29,,,21,,,35,,,,25,27,43,
Paraguay,PRY,AME,30,128,1.40,7,27.70,32.30,,,33,37,,22,,,32,24,,31,28
Togo,TGO,SSA,30,128,1.60,7,27.36,32.64,27,,25,,,35,,,32,20,35,,36
Kenya,KEN,SSA,30,128,1.32,9,27.83,32.17,32,,33,20,,35,,,41,28,35,25,22
Angola,AGO,SSA,29,136,1.53,7,26.49,31.51,,,33,20,,35,,,33,33,,23,28
Liberia,LBR,SSA,29,136,1.70,8,26.21,31.79,34,,29,,,22,,,40,22,27,37,20
Mali,MLI,SSA,29,136,1.46,8,26.59,31.41,37,,33,,,35,,,32,24,27,23,19
Russia,RUS,ECA,29,136,1.46,9,26.60,31.40,,,25,20,24,35,39,,24,25,,40,33
Mauritania,MRT,SSA,28,140,1.85,7,24.96,31.04,27,,33,,,35,,,,17,35,22,27
Myanmar,MMR,AP,28,140,2.78,7,23.43,32.57,,,25,20,,22,,,31,51,27,,24
Pakistan,PAK,AP,28,140,1.87,8,24.92,31.08,,,21,20,,35,,,32,20,35,41,25
Uzbekistan,UZB,ECA,28,140,1.51,7,25.52,30.48,,,29,20,24,35,,,,26,27,,36
Cameroon,CMR,SSA,27,144,1.37,9,24.75,29.25,34,,29,20,,35,,,24,17,35,28,19
Kyrgyzstan,KGZ,ECA,27,144,1.16,7,25.09,28.91,,,29,,27,22,,,,23,35,30,26
Uganda,UGA,SSA,27,144,1.22,9,24.99,29.01,24,,33,37,,22,,,25,23,27,32,17
Bangladesh,BGD,AP,26,147,1.74,8,23.13,28.87,,,25,20,,22,,,41,15,27,29,25
Madagascar,MDG,SSA,26,147,1.69,7,23.22,28.78,24,,33,,,35,,,24,20,27,,18
Mozambique,MOZ,SSA,26,147,1.99,8,22.73,29.27,14,,25,20,,35,,,32,39,18,,26
Guatemala,GTM,AME,25,150,1.17,7,23.07,26.93,,,21,20,,22,,,30,25,,31,26
Guinea,GIN,SSA,25,150,1.27,8,22.91,27.09,27,,29,,,35,,,24,20,27,18,19
Iran,IRN,MENA,25,150,2.29,7,21.23,28.77,,,13,20,,35,,,24,20,,29,36
Tajikistan,TJK,ECA,25,150,3.97,6,18.47,31.53,,,17,,21,22,,,,19,18,50,
Lebanon,LBN,MENA,24,154,0.77,7,22.74,25.26,,,21,20,,22,,,24,25,,26,27
Nigeria,NGA,SSA,24,154,1.57,8,21.42,26.58,,,33,20,,22,,,24,14,35,22,23
Central African Republic,CAF,SSA,24,154,0.99,5,22.37,25.63,24,,25,,,22,,,,20,27,,
Cambodia,KHM,AP,23,157,2.84,8,18.32,27.68,,,13,20,,35,,36,,15,10,42,13
Honduras,HND,AME,23,157,0.85,8,21.61,24.39,,,21,20,,22,,,30,20,27,21,21
Iraq,IRQ,MENA,23,157,4.02,5,16.39,29.61,,,37,20,,10,,,32,17,,,
Zimbabwe,ZWE,SSA,23,157,1.52,8,20.50,25.50,19,,21,37,,22,,,15,21,27,,25
Eritrea,ERI,SSA,22,161,4.99,5,13.79,30.21,4,,13,,,35,,,,34,27,,
Congo,COG,SSA,21,162,1.46,7,18.60,23.40,,,21,20,,22,,,16,20,18,,33
Guinea Bissau,GNB,SSA,21,162,2.69,6,16.57,25.43,14,,29,,,22,,,32,18,10,,
Chad,TCD,SSA,20,164,1.89,6,16.90,23.10,24,,21,,,22,,,,11,27,14,
Comoros,COM,SSA,20,164,5.83,4,10.41,29.59,4,,,,,35,,,,16,27,,
Haiti,HTI,AME,20,164,0.74,6,18.78,21.22,,,17,,,22,,,22,17,18,,21
Nicaragua,NIC,AME,20,164,0.97,8,18.40,21.60,,,17,20,,22,,,22,12,27,21,19
Sudan,SDN,SSA,20,164,2.43,8,16.01,23.99,14,,17,20,,22,,,6,37,10,,33
Burundi,BDI,SSA,19,169,3.27,6,13.62,24.38,14,,13,,,22,,,,14,10,38,
Democratic Republic of the Congo,COD,SSA,19,169,1.00,9,17.35,20.65,27,,25,20,,22,,,20,13,18,13,12
Turkmenistan,TKM,ECA,19,169,1.07,5,17.24,20.76,,,17,20,21,22,,,,15,,,
Equatorial Guinea,GNQ,SSA,17,172,2.55,4,12.81,21.19,,,9,20,,22,,,,16,,,
Libya,LBY,MENA,17,172,1.72,5,14.18,19.82,,,21,20,,10,,,15,21,,,
Afghanistan,AFG,AP,16,174,2.12,5,12.51,19.49,,,25,,,10,,,,12,18,,14
"Korea, North",PRK,AP,16,174,2.57,4,11.77,20.23,,,13,,,10,,,15,24,,,
Yemen,YEM,MENA,16,174,2.29,7,12.23,19.77,,,13,20,,10,,,15,12,10,34,
Venezuela,VEN,AME,14,177,0.99,8,12.37,15.63,,,9,20,,10,20,,15,12,,13,10
Somalia,SOM,SSA,13,178,1.89,6,9.89,16.11,11,,9,,,22,,,6,12,18,,
Syria,SYR,MENA,13,178,1.58,5,10.40,15.60,,,9,20,,10,,,15,12,,,
South Sudan,SSD,SSA,11,180,0.41,5,10.33,11.67,11,,13,,,10,,,,11,10,,
